#,单词,音标,解释,笔记
183,"mercantile","英:/'mɜːk(ə)ntaɪl/ 美:/'mɝkəntɪl/","- adj. 贸易的，商业的；商人的；经商的
- (一个国家的)商船
- (一个国家的)商船人员
- 商业票据",
184,"rebate","英:/'riːbeɪt/ 美:/rɪ'bet/","- vt. 减少；打折扣
- vi. 退还部分付款，打折扣
- n. 折扣


时 态:  
rebated, rebating, rebates",
185,"stencil","英:/'stensɪl/ 美:/'stɛnsl/","- n. 模版，蜡纸
- vt. 用蜡纸印刷；用模板印刷


时 态:  
stenciled, stencilled 
stenciling, stencilling 
stencils, stencils  

名 词:  
stenciler",
186,"comestible","英:/kə'mestɪb(ə)l/ 美:/kə'mɛstɪbl/","- adj. 可吃的
- n. 食物",
187,"dainty","英:/'deɪntɪ/ 美:/'denti/","- adj. 精致的, 娇俏的, 优雅的, 美味的
- (指人)品位高雅的, 难以取悦的, 讲究的, 挑剔的

比较级:  
daintier, daintiest 

副 词:  
daintily

名 词:  
daintiness",
188,"loaf","英:/ləʊf/ 美:/lof/","- n. 块；条，一条面包；游荡
- vt. 虚度光阴；游手好闲；游荡
- vi. 游手好闲；虚度光阴；游荡",
189,"morsel","英:/'mɔːs(ə)l/ 美:/'mɔrsl/","n. （食物）少量；一口",
190,"viands","/ˈvaɪəndz/","n. 食物；粮食（viand的复数形式）",
191,"apparatus","英:/ˌæpə'reɪtəs/ 美:/ˌæpə'rætəs/","- n. 运动器械, 器具, 仪器
- 机构, 组织
- 器官",
192,"emblematic","英:/ˌemblə'mætɪk/ 美:/ˌɛmblə'mætɪk/","adj. 象征的;可当标志的",
193,"earmark","英:/'ɪəmɑːk/ 美:/'ɪrmɑrk/","vt. 指定…作为特定用途

时 态:  
earmarked, earmarking, earmarks",
194,"pedigree","英:/'pedɪgriː/ 美:/'pɛdɪɡri/","- n. 世系
- 门第;出身
- 家谱;系谱
- adj. 纯种的
- adj. 有血统来源的

形容词:  
pedigreed",
195,"crevice","英:/'krevɪs/ 美:/'krɛvɪs/","n. 裂缝；裂隙


形容词:  
creviced",
196,"hiatus","英:/haɪ'eɪtəs/ 美:/haɪ'etəs/","n. 裂缝，空隙；脱漏部分


形容词:  
hiatal",
197,"rent","英:/rent/ 美:/rɛnt/","- n. 租金
- vt. 租借；出租；租用
- vi. 出租；租


时 态:  
rented, renting, rents 

形容词:  
rentable",
198,"dialectic","英:/ˌdaɪə'lektɪk/ 美:/ˌdaɪə'lɛktɪk/","adj. 辩证的",
199,"platonic","英:/plə'tɔnik/ 美:/pləˈtɑnɪk/","adj. 柏拉图哲学的；不切实际的；纯精神友谊的；理想的

platonic
- adj. 柏拉图(哲学)的
- 理想的;不切实际的
- (两性之间关系)纯精神友谊的",
200,"dialectical","英:/daɪə'lektɪk(ə)l/ 美:/ˌdaɪə'lɛktɪkl/","adj. 方言的,辩证的",
201,"flaunt","英:/flɔːnt/ 美:/flɔnt/","- vt. 炫耀；飘扬
- vi. 夸耀；飘扬
- n. 炫耀；飘扬；招展


时 态:  
flaunted, flaunting, flaunts",
202,"flaunty","英:/'flɔːntɪ/ 美:/'flɔnti/","adj. 虚华的


比较级:  
flauntier, flauntiest 

副 词:  
flauntily

名 词:  
flauntiness",
203,"gaunt","英:/gɔːnt/ 美:/ɡɔnt/","adj. 荒凉的；憔悴的；枯瘦的


比较级:  
gaunter, gauntest 

副 词:  
gauntly",
204,"elysium","英:/iˈliziəm/ 美:/ɪˈlɪziəm/","n. 极乐世界，天堂；至福之境",
205,"conspectus","英:/kən'spektəs/ 美:/kən'spɛktəs/","n. 概要;大纲;一览表",
206,"epitomize","英:/ɪ'pɪtəmaɪz/ 美:/ɪ'pɪtəmaɪz/","vt. 成为(某事物)的缩影

时 态:  
epitomized, epitomizing, epitomizes",
207,"pith","英:/pɪθ/ 美:/pɪθ/","- n. (木)髓
- 橙子等外皮之下的海绵层,中果皮
- (争论、思想等)核心,精髓,要点
- 精力, 体力, 力气

时 态:  
pithed, pithing, piths",
208,"précis","/'preɪsiː/","- n. (演说或文章的)摘要, 大意, 梗概, 大纲
- vt. 作(某事)的摘要;写(某事)的大纲",
209,"synoptic","英:/sɪ'nɒptɪk/ 美:/sɪ'nɑptɪk/","adj. 提纲的,概要的

副 词:  
synoptically",
210,"besmirch","英:/bɪ'smɜːtʃ/ 美:/bɪˈsmə..tʃ/","vt. 弄脏,玷污；丑化, 糟蹋(名誉等)

时 态:  
besmirched, besmirching, besmirches",
211,"blemish","英:/'blemɪʃ/ 美:/'blɛmɪʃ/","- vt. 有损…的完美，玷污
- n. (身体的)瘢点；伤疤
- 瑕疵，污点

时 态:  
blemished，blemishing，blemishes",
212,"defile","英:/dɪ'faɪl/ 美:/dɪ'faɪl/","- vt. 弄脏
- 污染
- 玷污,亵渎
- 纵列行进
- n. 峡谷,隘路

时 态:  
defiled, defiling, defiles 

名 词:  
defilement

名 词:  
defiler",
213,"dowdy","英:/'daʊdɪ/ 美:/'daʊdi/","adj. (指衣服)不漂亮的，俗气的；(穿着)邋遢的

比较级:  
dowdier，dowdiest 

副 词:  
dowdily

形容词:  
dowdyish",
214,"sleazy","英:/'sliːzɪ/ 美:/'slizi/","adj. 质地薄的；[口]肮脏的；低级庸俗的；破烂的


比较级:  
sleazier, sleaziest",
215,"sloppy","英:/'slɒpɪ/ 美:/ˈslɑpi/","- adj. 衣着不整的；邋遢的
- 草率的，粗心的，做事马虎的
- 过于伤感的；感情脆弱的
- 宽松的；肥大的；不合身的
- 溅满水的
- 太稀的
- adv. 马虎地；草率地
- n. 草率，粗心

比较级:  
sloppier，sloppiest 

名 词:  
sloppiness",
216,"smudge","英:/smʌdʒ/ 美:/smʌdʒ/","- n. (尤指因擦而形成的)污点, 污迹, 污斑
- vt. & vi. 弄脏, 留下污迹, (使)变脏

时 态:  
smudged, smudging, smudges 

副 词:  
smudgily

名 词:  
smudginess

形容词:  
smudgy",
217,"soil","英:/sɒɪl/ 美:/sɔɪl/","n. 土地；土壤；国家；粪便；务农；温床
vt. & vi. 弄脏；污辱

时 态:  
soiled，soiling，soils",
218,"sully","英:/'sʌlɪ/ 美:/ˈsʌli/","vt. 玷污,破坏名声

时 态:  
sullied, sullying, sullies",
219,"seedy","英:/'siːdɪ/ 美:/'sidi/","- adj. 破衣烂衫的,肮脏的
- adv. 破衣烂衫地,肮脏地
- n. 破衣烂衫,肮脏

比较级:  
seedier, seediest 

副 词:  
seedily",
220,"run-down","英:/'rʌn'daun/ 美:/ˈrʌnˌdaʊn/","- adj. (钟、表等)发条走完的;(电池)耗尽的
- 精疲力竭的;衰弱的
- 失修的;破败的;衰败的",
221,"bungling","/'bʌŋɡliŋ/","- adj. 笨拙的；粗劣的
- n. 拙劣的工作
- v. 拙劣地工作（bungle的现在分词）",
222,"unwieldy","英:/ʌn'wiːldɪ/ 美:/ʌn'wildi/","- adj. 不易移动或操作的；笨重的，庞大的
- 难使用的；难驾驭的，难控制的

比较级:  
unwieldier，unwieldiest 

名 词:  
unwieldiness",
223,"unemphatic","","adj. 不强调的,非着重的",
224,"bauble","英:/'bɔːb(ə)l/ 美:/'bɔbl/","n. 小玩意；美观而无价值的饰物",
225,"circumstantial","英:/sɜːkəm'stænʃ(ə)l/ 美:/ˌsɝkəm'stænʃl/","- adj. (指描述)详细的
- (指证据)有充分细节却无法证实的",
226,"fustian","英:/'fʌstɪən/ 美:/ˈfʌstʃən/","- n. (通常为暗色的)厚粗棉布,粗斜纹布
- 夸夸其谈",
227,"gnat","英:/næt/ 美:/næt/","n. 小昆虫；小烦扰",
228,"niggling","英:/ˈnɪglɪŋ/ 美:/'nɪɡlɪŋ/","- adj. 为琐事操心的；过于精细的；琐碎的
- n. 过于琐碎的工作；无关紧要的事
- v. 挑剔（niggle的ing形式）


名 词:  
niggling",
229,"nonsensical","英:/nɒn'sensɪk(ə)l/ 美:/nɑn'sɛnsɪkl/","adj. 无意义的;荒谬的;愚蠢的",
230,"egregious","英:/ɪ'griːdʒəs/ 美:/ɪˈɡridʒəs/","adj. 极坏的;异乎寻常的

副 词:  
egregiously",
231,"exorbitant","英:/ɪg'zɔːbɪt(ə)nt/ 美:/ɪɡ'zɔrbɪtənt/","adj. 过度的,极高的",
232,"inordinate","英:/ɪ'nɔːdɪnət/ 美:/ɪn'ɔrdɪnət/","adj. 过度的, 过量的

副 词:  
inordinately",
233,"overreach","英:/əʊvə'riːtʃ/ 美:/ˌovɚ'ritʃ/","vt. 因过于雄心勃勃而失败

时 态:  
overreached, overreaching, overreaches 

名 词:  
overreach",
234,"plenary","英:/'pliːnərɪ/ 美:/'plɛnəri/","- adj. 全体出席的；充分的
- n. 全体会议


副 词:  
plenarily",
235,"plenitude","英:/'plenɪtjuːd/ 美:/'plɛnɪtud/","n. 充分；大量；丰富


形容词:  
plenitudinous",
236,"plentitude","/'plentɪtjuːd/","n. 充分",
237,"satiety","英:/sə'taɪɪtɪ/ 美:/sə'taɪəti/","n. 满足，饱足；过多",
238,"unconscionable","英:/ʌn'kɒnʃ(ə)nəb(ə)l/ 美:/ʌn'kɑnʃənəbl/","adj. 昧着良心的;不合理的;过分的",
239,"unreserved","英:/ʌnrɪ'zɜːvd/ 美:/'ʌnrɪ'zɝvd/","- adj. (指座位等)未被预定的，未保留的
- 无保留的，完全的；坦率的
- adv. 未被预定地；无保留地，完全地

副 词:  
unreservedly",
240,"coherent","英:/kə(ʊ)'hɪər(ə)nt/ 美:/ko'hɪrənt/","adj. 条理清楚的，连贯的；前后一致的

副 词:  
coherently",
241,"perennial","英:/pə'renɪəl/ 美:/pə'rɛnɪəl/","- adj. 经常出现的;长期的;持久的
- adv. 经常出现地;长期地;持久地

副 词:  
perennially",
242,"tenure","英:/'tenjə/ 美:/'tɛnjɚ/","- n. 占有；任期
- vt. 授予…终身职位


形容词:  
tenurial",
243,"unremitting","英:/ʌnrɪ'mɪtɪŋ/ 美:/ˌʌnrɪ'mɪtɪŋ/","adj. 不懈的

副 词:  
unremittingly",
244,"musty","英:/'mʌstɪ/ 美:/'mʌsti/","- adj. 发霉的,陈腐的
- 乏味的,陈旧的

比较级:  
mustier, mustiest 

名 词:  
mustiness",
245,"nausea","英:/'nɔːsɪə/ 美:/'nɔzɪə/","n. 作呕;恶心;反胃",
246,"putrid","英:/'pjuːtrɪd/ 美:/ˈpjutrɪd/","- adj. 已腐烂的,腐败的
- 有毒的,有害的
- 腐化的,堕落的
- 卑劣的,极令人不快的

名 词:  
putridity

副 词:  
putridly",
247,"queasy","英:/'kwiːzɪ/ 美:/'kwizi/","adj. 呕吐的；不稳定的；催吐的


比较级:  
queasieralso queazier 
queasiestqueaziest  

副 词:  
queasily

名 词:  
queasiness",
248,"rancid","英:/'rænsɪd/ 美:/'rænsɪd/","adj. (指含有油脂食物)因变质而有陈腐味道或气味的;(指气味或味道)如陈腐脂肪味的",
249,"raucous","英:/'rɔːkəs/ 美:/'rɔkəs/","- adj. 粗声的;沙哑的
- adv. 粗声地;沙哑地
- n. 粗声;沙哑

副 词:  
raucously",
250,"scabrous","英:/'skeɪbrəs/ 美:/'skæbrəs/","- adj. 粗糙的,凹凸不平的
- 困难的：难对付的；棘手的
- 粗俗的,淫秽的",
251,"amplitude","英:/'æmplɪtjuːd/ 美:/'æmplə'tʊd/","- n. 广大,广阔
- 充足,丰富
- 振幅
- 射程
- (智力的)幅度",
252,"immensity","英:/ɪ'mensətɪ/ 美:/ɪ'mɛnsəti/","n. 无限;广大;巨大",
253,"impregnable","英:/ɪm'pregnəb(ə)l/ 美:/ɪm'prɛɡnəbl/","adj. 攻不破的, 坚不可摧的",
254,"irrepressible","英:/ɪrɪ'presɪb(ə)l/ 美:/ˌɪrɪ'prɛsəbl/","adj. 压抑不住的

副 词:  
irrepressibly",
255,"mammoth","英:/'mæməθ/ 美:/'mæməθ/","- n. 长毛象；猛犸象；庞然大物
- adj. 猛犸似的；巨大的，庞大的",
256,"monstrous","英:/'mɒnstrəs/ 美:/'mɑnstrəs/","- adj. 极可恶的；令人震惊的
- 尺寸大得不顺眼的，大得古怪的

名 词:  
monstrousness",
257,"stupendous","英:/stjuː'pendəs/ 美:/stu'pɛndəs/","- adj. 惊人的,了不起的
- 巨大的,有重要性的

副 词:  
stupendously",
258,"indigenous","英:/ɪn'dɪdʒɪnəs/ 美:/ɪn'dɪdʒənəs/","- adj. 土生土长的
- 生来的, 固有的

副 词:  
indigenously

名 词:  
indigenousness",
259,"subsume","英:/səb'sjuːm/ 美:/səb'sʊm/","vt. 把……归入；把……包括在内


时 态:  
subsumed, subsuming, subsumes",
260,"delimit","英:/dɪ'lɪmɪt/ 美:/dɪ'lɪmɪt/","vt. 划界；定界限


时 态:  
delimitedalso delimitated 
delimitingdelimitating 
delimitsdelimitates  

名 词:  
delimitation",
261,"demarcate","英:/'diːmɑːkeɪt/ 美:/'dimɑr'ket/","vt. 定…的界线；区分

时 态:  
demarcated，demarcating，demarcates",
262,"interpose","英:/ɪntə'pəʊz/ 美:/'ɪntɚ'poz/","- vt. 插入
- 插(话),干涉
- 打断
- 提出(反对)以便干预
- 调停

时 态:  
interposed, interposing, interposes 

名 词:  
interposal

名 词:  
interposer

名 词:  
interposition",
263,"juxtapose","英:/ˌdʒʌkstə'pəʊz/ 美:/'dʒʌkstə'poz/","vt. 把…并列，把…并置；把…放在另一个旁边

时 态:  
juxtaposed，juxtaposing，juxtaposes",
264,"nethermost","英:/'neðəməʊst/ 美:/ˈnɛðɚˌmost/","adj. 最下面的",
265,"niche","英:/niːʃ/ 美:/niʃ/","- n. 壁龛；合适的职业
- vt. 放入壁龛


时 态:  
niched, niching, niches",
266,"proximate","英:/'prɒksɪmət/ 美:/'prɑksəmət/","adj. (时间、顺序等方面)近邻的;最接近的

副 词:  
proximately",
267,"ulterior","英:/ʌl'tɪərɪə/ 美:/ʌl'tɪrɪɚ/","adj. 将来的，较远的；在那边的；隐秘不明的


副 词:  
ulteriorly",
268,"nether","英:/'neðə/ 美:/'nɛðɚ/","- adj. 下面的,下部的
- 下界的, 地下的
- n. 阴间
- 下层社会",
269,"addendum","英:/ə'dendəm/ 美:/ə'dɛndəm/","- n. 附加物
- 补遗,补编；附录
- (齿轮的)齿顶(高)",
270,"appendage","英:/ə'pendɪdʒ/ 美:/ə'pɛndɪdʒ/","- n. 附属物
- 依附的人
- 附属器官,附属肢体(如臂、腿、尾等)",
271,"collateral","英:/kə'læt(ə)r(ə)l/ 美:/kə'lætərəl/","- n. 附属担保品
- adj. 相关的",
272,"tributary","英:/'trɪbjʊt(ə)rɪ/ 美:/'trɪbjə'tɛri/","- n. 支流
- 进贡国,附庸国
- 进贡者
- adj. (需向…)进贡的,附庸的
- 辅助的
- 支流的",
273,"incidental","英:/ɪnsɪ'dent(ə)l/ 美:/'ɪnsə'dɛntl/","- adj. 附属的
- 易发生的；偶然发生的
- n. 附带事件",
274,"subaltern","英:/'sʌb(ə)lt(ə)n/ 美:/sə'bɔltən/","- n. 次长,中尉,副官
- adj. 下的,副的,次的",
275,"evenhanded","/'iːvən'hændɪd/","adj. 公平的,公平无私的",
276,"equitable","英:/'ekwitəbl/ 美:/ˈɛkwɪtəbəl/","- adj. 公正的,合理的
- n. 公正,合理
- adv. 公正地,合理地

名 词:  
equitableness

副 词:  
equitably",
277,"impersonal","英:/ɪm'pɜːs(ə)n(ə)l/ 美:/ɪm'pɝsnl/","- adj. 不受个人情感影响的，冷淡的
- 客观的
- n. 与个人无关
- adv. 冷淡地；客观地

名 词:  
impersonality

副 词:  
impersonally",
278,"buffoonery","/bʌ'fʊnəri/","n. 打诨,滑稽",
279,"remittent","英:/rɪ'mɪt(ə)nt/ 美:/rɪ'mɪtnt/","adj. (发烧)间歇性的,弛张的",
280,"foolproof","英:/'fuːlpruːf/ 美:/'fulpruf/","adj. (方法、计划、系统等设计得)万无一失的,肯定成功的",
281,"legible","英:/'ledʒɪb(ə)l/ 美:/'lɛdʒəbl/","adj. 易读的；清晰的；易辨认的


副 词:  
legibly",
282,"readily","英:/'redɪlɪ/ 美:/'rɛdɪli/","adv. 容易地；乐意地；无困难地",
283,"homespun","英:/'həʊmspʌn/ 美:/'homspʌn/","- adj. 朴素的，简朴的；手织的
- n. 土布；手织品",
284,"schematize","英:/'skiːmətaɪz/ 美:/'skimətaɪz/","vt. 把…图式化,将…列入计划

时 态:  
schematized, schematizing, schematizes",
285,"sententious","英:/sen'tenʃəs/ 美:/sɛn'tɛnʃəs/","- adj. 说教的
- 卖弄文采的,咬文嚼字的
- 爱用格言〔警句〕的

副 词:  
sententiously

名 词:  
sententiousness",
286,"obsolescent","英:/ˌɒbsə'les(ə)nt/ 美:/ˌɑbsə'lɛsnt/","adj. 逐步废弃的

名 词:  
obsolescence",
287,"pristine","英:/'prɪstiːn/ 美:/'prɪstin/","- adj. 原始状态的；未受损的
- 新鲜而纯净的，清新的
- 原始的；远古的",
288,"shibboleth","英:/'ʃɪbəleθ/ 美:/'ʃɪbəlɛθ/","n. (党派、集团等的)准则,教条,用语,行话",
289,"passe","/'pa:sei/","adj. 已过盛年的；过时的；凋谢的",
290,"devoid","英:/dɪ'vɒɪd/ 美:/dɪ'vɔɪd/","adj. 缺乏的；全无的",
291,"destitute","英:/'destɪtjuːt/ 美:/'dɛstə'tʊt/","adj. 赤贫的，贫苦的；没有的，缺乏的",
292,"disembodied","英:/ˌdɪsɪmˈbɔdɪd/ 美:/ˌdɪsɪm'bɑdɪd/","- adj.  (灵魂)脱离肉体的,脱离实体的
- 无身体的,不具形体的",
293,"fluffy","英:/'flʌfɪ/ 美:/'flʌfi/","adj. 蓬松的；松软的；毛茸茸的；无内容的


比较级:  
fluffier, fluffiest",
294,"jejune","英:/dʒɪ'dʒuːn/ 美:/dʒɪ'dʒun/","- adj. (指思想、著作等)浅薄的，幼稚的，枯燥无味的
- 缺乏营养的；贫瘠的

副 词:  
jejunely

名 词:  
jejuneness",
295,"vaporous","英:/'veɪpərəs/ 美:/'vepərəs/","adj. 空想的；多蒸气的；雾状的",
296,"sojourn","英:/'sɒdʒɜːn/ 美:/'sʌdʒɝn/","- n. 逗留；旅居
- vi. 逗留；旅居


时 态:  
sojourned, sojourning, sojourns 

名 词:  
sojourner",
297,"extemporaneous","英:/ɪk,stempə'reɪnɪəs/ 美:/ɪkˌstɛmpəˈreniəs/","adj. (讲话或做事)毫无准备的,即席的,仓促的,临时的",
298,"fleeting","英:/'fliːtɪŋ/ 美:/ˈflitɪŋ/","- adj. 飞逝的；转瞬间的
- v. 迅速移动（fleet的ing形式）


副 词:  
fleetingly",
299,"imminent","英:/'ɪmɪnənt/ 美:/'ɪmɪnənt/","adj. 迫近的；即将来临的


副 词:  
imminently",
300,"impend","英:/ɪm'pend/ 美:/ɪmˈpɛnd/","vi. 迫近；即将发生


时 态:  
impended, impending, impends",
301,"impending","英:/ɪm'pendɪŋ/ 美:/ɪm'pɛndɪŋ/","adj. 即将发生的;迫在眉睫的",
302,"pending","英:/'pendɪŋ/ 美:/'pɛndɪŋ/","- adj. 未决定的；行将发生的
- prep. 在…期间；直到…时为止；在等待…之际
- v. 待定；悬而不决（pend的ing形式）",
303,"transience","英:/'trænziəns/ 美:/ˈtrænʃəns/","n. 短暂",
304,"transient","英:/'trænzɪənt/ 美:/ˈtrænʃənt/","adj. 短暂的; 片刻的; 转瞬即逝的",
305,"transitory","英:/'trænsɪt(ə)rɪ/ 美:/'trænsətɔri/","- adj. 不持续的
- 短暂的,转瞬即逝的

副 词:  
transitorily

名 词:  
transitoriness",
306,"improvisational","/ˌimprəvai'zeiʃənəl/","adj. 即兴的",
307,"fugitive","英:/'fjuːdʒɪtɪv/ 美:/'fjudʒətɪv/","- adj. 无常的；逃亡的；易变的
- n. 逃亡者；难捕捉之物


名 词:  
fugitiveness",
308,"closet","英:/'klɒzɪt/ 美:/'klɑzət/","- n. 壁橱；议事室，密室；小房间
- adj. 秘密的，私下的；空谈的
- vt. 把…关在私室中


时 态:  
closeted, closeting, closets",
309,"conclave","英:/'kɒŋkleɪv/ 美:/'kɑŋklev/","n. 秘密会议,教皇选举会议,红衣主教团",
310,"indicative","英:/ɪn'dɪkətɪv/ 美:/ɪn'dɪkətɪv/","- adj. 标示的, 指示的, 象征的
- 〈语〉陈述的, 直陈的",
311,"grandiloquent","/græn'dɪləkwənt/","adj. 夸张的,大言不惭的",
312,"garrulity","英:/ɡə'ru:liti/ 美:/ɡəˈrulɪti/","n. 饶舌",
313,"periphrastic","英:/ˌperɪ'fræstɪk/ 美:/ˌpɛrə'fræstɪk/","adj. 委婉的;迂回的;冗长的",
314,"pleonastic","英:/ˌpli:ə'næstik/ 美:/ˌplioˈnæstɪk/","adj. 赘述的；使用赘句的",
315,"verbiage","英:/'vɜːbɪɪdʒ/ 美:/'vɝbɪɪdʒ/","n. 冗词；废话；措辞方式",
316,"circumlocutory","/ˌsə:kəm'lɔkjutəri/","adj. (行文说话等)委婉曲折的,迂回的",
317,"long-winded","英:/ˈlɔŋˈwindid/ 美:/'lɔŋ'wɪndɪd/","adj. 气长的,啰嗦的,冗长的

副 词:  
long-windedly

名 词:  
long-windedness",
318,"winding","英:/'waɪndɪŋ/ 美:/'waɪndɪŋ/","- n. 线圈；绕，缠；弯曲
- adj. 弯曲的，蜿蜒的；卷绕的",
319,"windy","英:/'wɪndɪ/ 美:/'wɪndi/","adj. 多风的，有风的；腹胀的；吹牛的


比较级:  
windier, windiest 

名 词:  
windiness",
320,"screed","英:/skriːd/ 美:/skrid/","n. 冗长的文章；砂浆层",
321,"harping","/ha:piŋ/","- n. 反复述说；唠唠叨叨地反复讲
- v. 反复的谈论（harp的ing形式）",
322,"litany","英:/'lɪt(ə)nɪ/ 美:/'lɪtəni/","- n. 连祷; 启应式祈祷
- (英国国教公祷书中的)连祷文
- 唠唠叨叨的抱怨",
323,"loquacity","英:/lə'kwæsɪtɪ/ 美:/lo'kwæsəti/","n. 多话,饶舌",
324,"floppy","英:/'flɒpɪ/ 美:/'flɑpi/","adj. 松软的；松弛下垂的

比较级:  
floppier，floppiest 

副 词:  
floppily",
325,"iota","英:/aɪ'əʊtə/ 美:/aɪ'otə/","n. 极微小；希腊语的第九个字母",
326,"whit","英:/wɪt/ 美:/hwɪt/","n. 一点点；些微",
